Year,Runtype,Indicator,medval,lowval,highval,combined
2030,ProgAnyDisease_AI,cumulative_incDc_diff,10.9440900895115,9.64055147648294,12.7680771997757,"0.011 (0.01, 0.013)"
2030,ProgAnyDisease_AI,cumulative_incDs_diff,42.6077787889826,37.8745855778313,54.1086420464296,"0.043 (0.038, 0.054)"
2030,ProgAnyDisease_AI,cumulative_incDsDc_diff,53.6626841047241,47.7051705995918,66.7821195406932,"0.054 (0.048, 0.067)"
2030,ProgAnyDisease_AI,cumulative_incDn_diff,203.918361020605,184.051038347915,238.837092634133,"0.204 (0.184, 0.239)"
2030,ProgAnyDisease_AI,cumulative_mort_diff,0.555310925846783,0.507182075574144,0.677811782108751,"0.001 (0.001, 0.001)"
2031,ProgAnyDisease_AI,cumulative_incDc_diff,49.2790712076362,44.4894535956112,56.0275122747459,"0.049 (0.044, 0.056)"
2031,ProgAnyDisease_AI,cumulative_incDs_diff,163.793475420951,148.40617284322,201.705432688356,"0.164 (0.148, 0.202)"
2031,ProgAnyDisease_AI,cumulative_incDsDc_diff,213.463666273456,192.12315538923,258.099315086122,"0.213 (0.192, 0.258)"
2031,ProgAnyDisease_AI,cumulative_incDn_diff,617.258880602844,557.847557670719,724.988443227666,"0.617 (0.558, 0.725)"
2031,ProgAnyDisease_AI,cumulative_mort_diff,3.62968438442891,3.40137855073788,4.24567057978728,"0.004 (0.003, 0.004)"
2032,ProgAnyDisease_AI,cumulative_incDc_diff,126.515302593313,115.130950028662,142.701816632759,"0.127 (0.115, 0.143)"
2032,ProgAnyDisease_AI,cumulative_incDs_diff,390.54228823449,355.776027557742,475.950473930948,"0.391 (0.356, 0.476)"
2032,ProgAnyDisease_AI,cumulative_incDsDc_diff,517.70410428783,470.60506679479,619.092331858515,"0.518 (0.471, 0.619)"
2032,ProgAnyDisease_AI,cumulative_incDn_diff,1249.67369768503,1130.58110901695,1474.69892812487,"1.25 (1.131, 1.475)"
2032,ProgAnyDisease_AI,cumulative_mort_diff,11.2302479397417,10.6133816127539,12.9056443485783,"0.011 (0.011, 0.013)"
2033,ProgAnyDisease_AI,cumulative_incDc_diff,251.403151895875,229.520167042005,282.162937194807,"0.251 (0.23, 0.282)"
2033,ProgAnyDisease_AI,cumulative_incDs_diff,742.021411057187,679.367595937695,898.891868280628,"0.742 (0.679, 0.899)"
2033,ProgAnyDisease_AI,cumulative_incDsDc_diff,993.881480308522,908.514999790087,1180.58474559685,"0.994 (0.909, 1.181)"
2033,ProgAnyDisease_AI,cumulative_incDn_diff,2111.24546905716,1910.51410021966,2501.33238046588,"2.111 (1.911, 2.501)"
