Year,Runtype,Indicator,medval,lowval,highval,combined
2030,ProgAnyDisease_AI,cumulative_incDc,2204.04485621393,1939.34939014572,2639.64724369023,"2.2 (1.9, 2.6) million"
2030,ProgAnyDisease_AI,cumulative_incDs,5362.42293370266,4238.92032145111,6829.02231380112,"5.4 (4.2, 6.8) million"
2030,ProgAnyDisease_AI,cumulative_incDsDc,7575.18032052774,6184.08353556305,9393.78817728863,"7.6 (6.2, 9.4) million"
2030,ProgAnyDisease_AI,cumulative_incDn,6207.23449708371,4028.67492299212,8515.97047386519,"6.2 (4, 8.5) million"
2030,ProgAnyDisease_AI,cumulative_mort,372.002080725559,335.337344355791,429.674036167472,"0.4 (0.3, 0.4) million"
2031,ProgAnyDisease_AI,cumulative_incDc,4316.89092899717,3793.39065216205,5197.6610416969,"4.3 (3.8, 5.2) million"
2031,ProgAnyDisease_AI,cumulative_incDs,10504.759340186,8286.25299649912,13427.5653456775,"10.5 (8.3, 13.4) million"
2031,ProgAnyDisease_AI,cumulative_incDsDc,14843.3945297414,12099.3449093194,18482.1669910003,"14.8 (12.1, 18.5) million"
2031,ProgAnyDisease_AI,cumulative_incDn,12102.6999640716,7814.31723462508,16619.6522886171,"12.1 (7.8, 16.6) million"
2031,ProgAnyDisease_AI,cumulative_mort,731.638066220574,656.666935804355,848.39657878753,"0.7 (0.7, 0.8) million"
2032,ProgAnyDisease_AI,cumulative_incDc,6335.16656354719,5553.85294751604,7672.30763831087,"6.3 (5.6, 7.7) million"
2032,ProgAnyDisease_AI,cumulative_incDs,15422.4235957255,12121.2658088264,19756.8656031413,"15.4 (12.1, 19.8) million"
2032,ProgAnyDisease_AI,cumulative_incDsDc,21773.0397793109,17700.9701510353,27227.7192438339,"21.8 (17.7, 27.2) million"
2032,ProgAnyDisease_AI,cumulative_incDn,17663.6329861007,11352.199758213,24303.7694834008,"17.7 (11.4, 24.3) million"
2032,ProgAnyDisease_AI,cumulative_mort,1076.63480933491,961.898757056144,1252.48160675111,"1.1 (1, 1.3) million"
2033,ProgAnyDisease_AI,cumulative_incDc,8256.74008036748,7215.10710063138,10051.6923974292,"8.3 (7.2, 10.1) million"
2033,ProgAnyDisease_AI,cumulative_incDs,20086.9660814468,15740.1479620132,25790.3500490049,"20.1 (15.7, 25.8) million"
2033,ProgAnyDisease_AI,cumulative_incDsDc,28354.3825469564,22993.1236599703,35585.3309595843,"28.4 (23, 35.6) million"
2033,ProgAnyDisease_AI,cumulative_incDn,22905.8895102733,14643.4647276781,31555.3192318732,"22.9 (14.6, 31.6) million"
2033,ProgAnyDisease_AI,cumulative_mort,1406.16842469888,1250.43707983047,1641.16938560999,"1.4 (1.3, 1.6) million"
2034,ProgAnyDisease_AI,cumulative_incDc,10062.6916566905,8774.60255006533,12329.5022105328,"10.1 (8.8, 12.3) million"
2034,ProgAnyDisease_AI,cumulative_incDs,24491.4640423608,19168.5944811048,31513.3558474755,"24.5 (19.2, 31.5) million"
2034,ProgAnyDisease_AI,cumulative_incDsDc,34555.2176216664,27977.0204983999,43514.1026467141,"34.6 (28, 43.5) million"
2034,ProgAnyDisease_AI,cumulative_incDn,27836.6261411081,17693.3378024501,38429.3692068135,"27.8 (17.7, 38.4) million"
2034,ProgAnyDisease_AI,cumulative_mort,1718.19760873533,1521.91915499956,2010.9833788895,"1.7 (1.5, 2) million"
2035,ProgAnyDisease_AI,cumulative_incDc,11779.8223217443,10243.3054833873,14510.761754724,"11.8 (10.2, 14.5) million"
2035,ProgAnyDisease_AI,cumulative_incDs,28667.703553694,22415.0701111524,36964.068446154,"28.7 (22.4, 37) million"
2035,ProgAnyDisease_AI,cumulative_incDsDc,40425.4596904499,32637.3001910842,51071.2726298982,"40.4 (32.6, 51.1) million"
2035,ProgAnyDisease_AI,cumulative_incDn,32523.9580332464,20582.1975527084,45037.9262623937,"32.5 (20.6, 45) million"
2035,ProgAnyDisease_AI,cumulative_mort,2016.58804056272,1777.38099840536,2362.01005335679,"2 (1.8, 2.4) million"
2036,ProgAnyDisease_AI,cumulative_incDc,13411.3768479717,11625.3054970263,16590.3902439915,"13.4 (11.6, 16.6) million"
2036,ProgAnyDisease_AI,cumulative_incDs,32603.8103101211,25484.3094817605,42167.1203263545,"32.6 (25.5, 42.2) million"
2036,ProgAnyDisease_AI,cumulative_incDsDc,46000.0149679494,37097.1696700757,58289.2642861632,"46 (37.1, 58.3) million"
2036,ProgAnyDisease_AI,cumulative_incDn,37035.136406335,23321.4398026952,51333.9298002511,"37 (23.3, 51.3) million"
2036,ProgAnyDisease_AI,cumulative_mort,2296.6810789002,2018.18954275267,2697.96184656197,"2.3 (2, 2.7) million"
2037,ProgAnyDisease_AI,cumulative_incDc,14967.8102272806,12932.3437091624,18572.9408328667,"15 (12.9, 18.6) million"
2037,ProgAnyDisease_AI,cumulative_incDs,36428.65137931,28398.2393372862,47144.6266217731,"36.4 (28.4, 47.1) million"
2037,ProgAnyDisease_AI,cumulative_incDsDc,51352.638153892,41338.6193709989,65206.9874007036,"51.4 (41.3, 65.2) million"
2037,ProgAnyDisease_AI,cumulative_incDn,41274.4447641822,25922.2934244939,57388.5144181201,"41.3 (25.9, 57.4) million"
2037,ProgAnyDisease_AI,cumulative_mort,2564.57127779835,2245.50407140168,3020.97418649751,"2.6 (2.2, 3) million"
2038,ProgAnyDisease_AI,cumulative_incDc,16441.9454855492,14173.206048527,20468.0206817552,"16.4 (14.2, 20.5) million"
2038,ProgAnyDisease_AI,cumulative_incDs,40061.3003982813,31175.2479989248,51915.9557057203,"40.1 (31.2, 51.9) million"
2038,ProgAnyDisease_AI,cumulative_incDsDc,56484.5877404271,45382.3305841592,71959.5704599884,"56.5 (45.4, 72) million"
2038,ProgAnyDisease_AI,cumulative_incDn,45335.7513668761,28397.3210024712,63294.5256597639,"45.3 (28.4, 63.3) million"
