Year,Runtype,Indicator,medval,lowval,highval,combined
2030,ProgAnyDisease_AI,cumulative_incDc,2293.20878496705,2132.01347954172,2484.86062451892,"2.3 (2.1, 2.5) million"
2030,ProgAnyDisease_AI,cumulative_incDs,5801.99638076207,5336.03903545439,6802.70857022283,"5.8 (5.3, 6.8) million"
2030,ProgAnyDisease_AI,cumulative_incDsDc,8098.71749312327,7471.51720129735,9291.74605599668,"8.1 (7.5, 9.3) million"
2030,ProgAnyDisease_AI,cumulative_incDn,7892.59781633404,7231.99607168163,9408.97515070829,"7.9 (7.2, 9.4) million"
2030,ProgAnyDisease_AI,cumulative_mort,359.10361192802,342.707275364725,407.127627373613,"0.4 (0.3, 0.4) million"
2031,ProgAnyDisease_AI,cumulative_incDc,4505.05901370774,4187.29764053724,4887.61995396888,"4.5 (4.2, 4.9) million"
2031,ProgAnyDisease_AI,cumulative_incDs,11387.2185108871,10468.408701214,13375.710196335,"11.4 (10.5, 13.4) million"
2031,ProgAnyDisease_AI,cumulative_incDsDc,15900.0836486821,14661.454394464,18273.7616810705,"15.9 (14.7, 18.3) million"
2031,ProgAnyDisease_AI,cumulative_incDn,15392.2720535617,14099.0332030894,18399.8456390848,"15.4 (14.1, 18.4) million"
2031,ProgAnyDisease_AI,cumulative_mort,706.897365022895,674.203192073474,803.281067617678,"0.7 (0.7, 0.8) million"
2032,ProgAnyDisease_AI,cumulative_incDc,6627.22850354375,6155.89714419473,7193.80601645481,"6.6 (6.2, 7.2) million"
2032,ProgAnyDisease_AI,cumulative_incDs,16739.6295916895,15380.0324984852,19695.5045971227,"16.7 (15.4, 19.7) million"
2032,ProgAnyDisease_AI,cumulative_incDsDc,23370.5519897002,21544.8026312466,26912.8480867287,"23.4 (21.5, 26.9) million"
2032,ProgAnyDisease_AI,cumulative_incDn,22498.6179826225,20604.8380592413,26951.3537849086,"22.5 (20.6, 27) million"
2032,ProgAnyDisease_AI,cumulative_mort,1042.01241884879,993.091344674546,1186.60238691284,"1 (1, 1.2) million"
2033,ProgAnyDisease_AI,cumulative_incDc,8654.78637068204,8034.00159032865,9398.60840727707,"8.7 (8, 9.4) million"
2033,ProgAnyDisease_AI,cumulative_incDs,21845.8813355824,20059.7908283632,25762.1623680089,"21.8 (20.1, 25.8) million"
2033,ProgAnyDisease_AI,cumulative_incDsDc,30491.8241255611,28105.2059229678,35214.9792162069,"30.5 (28.1, 35.2) million"
2033,ProgAnyDisease_AI,cumulative_incDn,29211.9088903324,26747.9476379228,35064.6670674642,"29.2 (26.7, 35.1) million"
