Year,Runtype,Indicator,medval,lowval,highval,combined
2030,ProgAnyDisease_AI,prop_incDc_diff,0.00674917837010141,0.00383841554456961,0.00965338227860987,"-0.7 (-1, -0.4)"
2030,ProgAnyDisease_AI,prop_incDs_diff,0.010366545011699,0.00653395118596809,0.0144949165938539,"-1 (-1.4, -0.7)"
2030,ProgAnyDisease_AI,prop_incDsDc_diff,0.0093332194663852,0.00573177465422704,0.0130626624186014,"-0.9 (-1.3, -0.6)"
2030,ProgAnyDisease_AI,prop_incDn_diff,0.0245577396813201,0.0214562961581974,0.0277071051547837,"-2.5 (-2.8, -2.1)"
2030,ProgAnyDisease_AI,prop_mort_diff,0.00251944156637379,0.00111675343812764,0.00380210725495257,"-0.3 (-0.4, -0.1)"
2031,ProgAnyDisease_AI,prop_incDc_diff,0.0143319557004116,0.00904556812953831,0.0193873735706435,"-1.4 (-1.9, -0.9)"
2031,ProgAnyDisease_AI,prop_incDs_diff,0.0189709304539388,0.0128251499178736,0.0250956140821197,"-1.9 (-2.5, -1.3)"
2031,ProgAnyDisease_AI,prop_incDsDc_diff,0.0176568282807066,0.0116867056338309,0.0234970070982648,"-1.8 (-2.3, -1.2)"
2031,ProgAnyDisease_AI,prop_incDn_diff,0.0390610475085625,0.0346758846043905,0.0438405790950507,"-3.9 (-4.4, -3.5)"
2031,ProgAnyDisease_AI,prop_mort_diff,0.00749236007122057,0.00396447015460905,0.0104590391536385,"-0.7 (-1, -0.4)"
2032,ProgAnyDisease_AI,prop_incDc_diff,0.024003136040462,0.0160287453188663,0.0314993502894466,"-2.4 (-3.1, -1.6)"
2032,ProgAnyDisease_AI,prop_incDs_diff,0.0295976464294642,0.0207761277462311,0.0380818861633813,"-3 (-3.8, -2.1)"
2032,ProgAnyDisease_AI,prop_incDsDc_diff,0.0279396042948486,0.019359432532591,0.0362048768425856,"-2.8 (-3.6, -1.9)"
2032,ProgAnyDisease_AI,prop_incDn_diff,0.0546031042323166,0.0486879942951364,0.061857598240969,"-5.5 (-6.2, -4.9)"
2032,ProgAnyDisease_AI,prop_mort_diff,0.0145764983241891,0.00864321228888881,0.0198035397389369,"-1.5 (-2, -0.9)"
2033,ProgAnyDisease_AI,prop_incDc_diff,0.0353590301410411,0.0246467740998099,0.0451386980047665,"-3.5 (-4.5, -2.5)"
