uid,nhits,clinsub,eta,infclr,infnon,infsub,k_dxA0,k_infA0,k_mortA0,k_progA0,kappa,lambda,multiplier,muTB,nonrec,nonsub,p,r,relnon,relsub,subclin,subnon
26351f6269e5c2196385e25485241be6,14,0.599126399,0.941363522,0.944457731,0.223560096,0.014911821,0.590276613,0.821074957,1.096764646,0.715269433,0.051095168,0.004599449,0.640185153,0.208754775,0.214657542,0.252814098,0.141757467,3.262013673,0.008280376,0.00507972,1.348209891,2.002983485
5317344c76334f11dd823a6cff9bddc3,14,0.606966242,0.944449489,1.018368843,0.219598426,0.020113132,0.583061157,0.823588492,1.100433418,0.723432526,0.051501594,0.004605122,0.624871099,0.195489631,0.214939959,0.255052712,0.140579066,3.274400971,0.00839548,0.005046995,1.379081869,1.990766736
8e992610588c7ef29f70ca226e5b4a20,14,0.606740419,0.944911798,1.015634411,0.219619231,0.020250812,0.584371254,0.82514051,1.099885329,0.723868179,0.051564988,0.004615468,0.622475979,0.196467223,0.214691931,0.254805827,0.140639341,3.283363889,0.008379988,0.005081187,1.382277148,1.991534214
b427a1cf5ad48342e0c9fc4619d67b4c,14,0.610846115,0.92378258,0.991520839,0.215628977,0.018035629,0.569084961,0.842973667,1.094384756,0.729659953,0.051204697,0.004581237,0.655850499,0.187282431,0.21476627,0.253610504,0.142927983,3.305398983,0.008605255,0.004906123,1.368887232,2.007810149
57b99e646508acb1b9929fedb48e0cd8,14,0.607037972,0.953004023,0.951404138,0.219441427,0.019256874,0.568714076,0.828522402,1.101358414,0.724839223,0.053042711,0.004448547,0.636378848,0.195873128,0.214385142,0.254524729,0.140994272,3.299321901,0.008570172,0.005175072,1.362225273,1.999679547
00511b04ff852d2fe256bd50f382064d,14,0.606937449,0.944292525,1.010964206,0.219304807,0.02015388,0.585253949,0.825404964,1.100286266,0.724864291,0.051613684,0.004609088,0.620261628,0.196084731,0.214862509,0.254871193,0.140877073,3.28222976,0.008397209,0.005091154,1.383452502,1.990622799
d7f501447d43f0b326356f10f6710d55,14,0.608452945,0.951824658,0.932302532,0.219751652,0.019404685,0.566273629,0.836501235,1.101967193,0.733319975,0.052454577,0.004369348,0.660267733,0.194053118,0.214701494,0.2538571,0.142667116,3.314191371,0.008550679,0.005195787,1.357497496,1.997792292
881c07c0c93ffb8e34b6fa8fce4189ba,14,0.607993998,0.950411847,0.931090218,0.218806372,0.019407314,0.566603855,0.836726055,1.103792987,0.733541849,0.052860032,0.004360852,0.661428594,0.194136959,0.214993931,0.253734032,0.142581207,3.308344616,0.008518122,0.00518922,1.359581738,1.997758176
d0b9e001c12361f9e874ff6d98781435,14,0.604350425,0.891190839,1.067540571,0.22760341,0.017873148,0.604487185,0.795422825,1.084087202,0.684007513,0.050732601,0.005022655,0.571578003,0.199906459,0.218922507,0.253265603,0.142138876,3.225122891,0.008296894,0.004817664,1.335818803,2.00177162
7866467af3442ea45c15183f11d26029,14,0.606821523,0.74405773,0.982465903,0.221802412,0.017969476,0.584750595,0.824353361,1.10228004,0.715664698,0.051010192,0.004584308,0.660387912,0.20139641,0.216694171,0.255058493,0.143362423,3.205125389,0.008639832,0.004956328,1.206491768,2.019146335
e36b8ed72200bc94872729597a2f41f4,14,0.608400919,0.943353051,0.935687084,0.219158963,0.019033587,0.567965296,0.837893999,1.102899142,0.736349711,0.053340249,0.004358193,0.659867744,0.192956185,0.215195628,0.253845441,0.142539805,3.297966368,0.008554442,0.005212107,1.370888319,1.996997764
